,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
82,0.0,0.0,210.0,0.0,0.0,5.0,6.6,0,2.75G,1.04G,362b,7.85k,8,rs0,SEC,38:37.7,1,0,1,0,0,16
83,0.0,0.0,242.0,0.0,0.0,5.0,6.9,0,2.79G,1.08G,491b,7.75k,8,rs0,SEC,38:46.1,1,1,2,0,0,7
84,0.0,0.0,259.0,0.0,0.0,5.0,7.1,0,2.82G,1.11G,442b,6.97k,8,rs0,SEC,38:55.4,2,0,1,0,0,5
85,0.0,0.0,595.0,0.0,0.0,5.0,7.3,0,2.85G,1.14G,1.10k,15.7k,8,rs0,SEC,38:59.8,2,0,4,0,0,16
86,0.0,0.0,149.0,0.0,0.0,5.0,7.7,0,2.89G,1.19G,259b,5.84k,8,rs0,SEC,39:08.7,1,0,1,0,0,16
87,0.0,0.0,234.0,0.0,0.0,5.0,7.8,0,2.91G,1.20G,465b,7.26k,8,rs0,SEC,39:18.5,2,0,1,0,0,16
88,0.0,0.0,615.0,0.0,0.0,5.0,8.1,0,2.95G,1.25G,1.06k,15.0k,8,rs0,SEC,39:23.3,1,0,4,0,0,16
89,0.0,0.0,100.0,0.0,0.0,5.0,8.5,0,3.01G,1.30G,266b,4.97k,8,rs0,SEC,39:34.2,2,0,1,0,0,16
90,0.0,0.0,343.0,0.0,0.0,5.0,8.6,0,3.02G,1.32G,544b,7.74k,8,rs0,SEC,39:44.0,1,0,2,0,0,16
91,0.0,0.0,756.0,0.0,0.0,5.0,9.0,0,3.07G,1.37G,1.24k,17.7k,8,rs0,SEC,39:48.1,1,0,5,0,0,16
92,0.0,0.0,115.0,0.0,0.0,5.0,9.3,0,3.12G,1.42G,244b,5.56k,8,rs0,SEC,39:57.4,1,0,0,0,0,2
93,0.0,0.0,268.0,0.0,0.0,5.0,9.4,0,3.13G,1.43G,463b,6.61k,8,rs0,SEC,40:07.5,1,0,2,0,0,16
94,0.0,0.0,627.0,0.0,0.0,5.0,9.9,0,3.19G,1.49G,961b,13.7k,8,rs0,SEC,40:12.8,1,0,4,0,0,1
95,0.0,0.0,143.0,0.0,0.0,5.1,10.1,0,3.24G,1.53G,309b,5.66k,8,rs0,SEC,40:22.9,1,0,1,0,0,16
96,0.0,0.0,326.0,0.0,0.0,5.0,10.4,0,3.26G,1.55G,490b,6.97k,8,rs0,SEC,40:33.8,1,0,2,0,0,1
97,0.0,0.0,714.0,0.0,0.0,5.0,10.7,0,3.31G,1.60G,1.06k,15.1k,8,rs0,SEC,40:38.8,2,0,4,0,0,10
98,0.0,0.0,100.0,0.0,0.0,5.0,11.1,0,3.36G,1.65G,237b,4.47k,8,rs0,SEC,40:50.7,1,1,1,0,0,8
99,0.0,0.0,322.0,0.0,0.0,5.1,11.2,0,3.38G,1.67G,455b,6.46k,8,rs0,SEC,41:03.1,1,0,2,0,0,16
100,0.0,0.0,948.0,0.0,0.0,5.1,11.7,0,3.44G,1.73G,1.65k,20.4k,8,rs0,SEC,41:07.3,1,0,7,0,0,9
101,0.0,0.0,89.0,0.0,0.0,5.1,12.1,0,3.51G,1.80G,154b,3.52k,8,rs0,SEC,41:21.9,1,1,0,0,0,1
102,0.0,0.0,362.0,0.0,0.0,5.1,12.3,0,3.52G,1.82G,522b,6.51k,8,rs0,SEC,41:36.1,1,0,2,0,0,16
103,0.0,0.0,1045.0,0.0,0.0,0.8,12.8,1,3.59G,1.89G,1.44k,18.0k,8,rs0,SEC,41:41.2,1,0,7,0,0,8
104,0.0,0.0,99.0,0.0,0.0,1.6,13.3,0,3.66G,1.96G,219b,4.00k,8,rs0,SEC,41:55.7,1,0,1,0,0,16
105,0.0,0.0,249.0,0.0,0.0,2.0,13.6,0,3.70G,2.00G,394b,4.92k,8,rs0,SEC,42:14.6,1,1,1,0,0,1
106,0.0,0.0,545.0,0.0,0.0,2.7,14.0,0,3.76G,2.06G,789b,9.03k,8,rs0,SEC,42:26.3,1,0,3,0,0,11
107,0.0,0.0,270.0,0.0,0.0,3.7,14.7,0,3.86G,2.15G,414b,5.47k,8,rs0,SEC,42:41.0,1,1,1,0,0,0
108,0.0,0.0,256.0,0.0,0.0,4.4,15.2,0,3.92G,2.22G,424b,5.02k,8,rs0,SEC,42:59.7,1,1,1,0,0,6
109,0.0,0.0,619.0,0.0,0.0,5.0,15.6,0,3.98G,2.28G,754b,8.68k,8,rs0,SEC,43:12.3,1,0,3,0,0,1
110,0.0,0.0,489.0,0.0,0.0,5.5,16.0,0,4.03G,2.33G,715b,9.45k,8,rs0,SEC,43:21.2,1,0,3,0,0,16
111,0.0,0.0,253.0,0.0,0.0,6.0,16.4,0,4.08G,2.37G,357b,5.09k,8,rs0,SEC,43:34.8,1,0,1,0,0,6
112,0.0,0.0,670.0,0.0,0.0,6.3,16.6,0,4.11G,2.41G,898b,11.2k,8,rs0,SEC,43:42.9,1,0,3,0,0,13
113,0.0,0.0,366.0,0.0,0.0,6.8,17.0,0,4.17G,2.47G,583b,9.14k,8,rs0,SEC,43:50.3,1,0,2,0,0,3
114,0.0,0.0,199.0,0.0,0.0,7.0,17.2,0,4.19G,2.49G,276b,4.93k,8,rs0,SEC,44:03.1,1,0,1,0,0,2
115,0.0,0.0,4389.0,0.0,0.0,7.3,17.4,0,4.22G,2.52G,6.77k,83.9k,8,rs0,SEC,44:04.2,1,0,30,0,0,15
116,0.0,0.0,18.0,0.0,0.0,7.5,17.6,0,4.24G,2.53G,52b,4.11k,8,rs0,SEC,44:13.6,1,0,0,0,0,1
