ns,total,read,write,time
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:46Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:46Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:46Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:46Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:46Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:46Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:46Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:46Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:46Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:47Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:47Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:47Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:47Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:47Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:47Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:47Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:47Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:47Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:47Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:48Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:48Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:48Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:48Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:48Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:48Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:48Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:48Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:48Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:48Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:49Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:49Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:49Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:49Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:49Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:49Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:49Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:49Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:49Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:49Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:50Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:50Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:50Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:50Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:50Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:50Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:50Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:50Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:50Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:50Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:51Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:51Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:51Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:51Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:51Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:51Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:51Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:51Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:51Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:51Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:52Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:52Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:52Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:52Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:52Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:52Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:52Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:52Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:52Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:52Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:53Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:53Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:53Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:53Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:53Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:53Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:53Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:53Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:53Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:53Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:54Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:54Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:54Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:54Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:54Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:54Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:54Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:54Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:54Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:54Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:55Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:55Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:55Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:55Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:55Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:55Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:55Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:55Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:55Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:55Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:56Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:56Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:56Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:56Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:56Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:56Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:56Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:56Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:56Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:56Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:57Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:57Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:57Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:57Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:57Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:57Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:57Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:57Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:57Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:57Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:58Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:58Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:58Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:58Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:58Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:58Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:58Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:58Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:58Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:58Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:59Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:47:59Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:59Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:59Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:59Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:59Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:59Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:59Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:59Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:59Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:48:00Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:48:00Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:48:00Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:48:00Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:48:00Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:48:00Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:48:00Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:48:00Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:48:00Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:48:00Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:48:01Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:48:01Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:48:01Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:48:01Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:48:01Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:48:01Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:48:01Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:48:01Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:48:01Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:48:01Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:48:02Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:48:02Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:48:02Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:48:02Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:48:02Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:48:02Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:48:02Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:48:02Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:48:02Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:48:02Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:48:03Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:48:03Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:48:03Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:48:03Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:48:03Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:48:03Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:48:03Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:48:03Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:48:03Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:48:03Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:48:04Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:48:04Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:48:04Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:48:04Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:48:04Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:48:04Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:48:04Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:48:04Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:48:04Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:48:04Z
ycsb.usertable,10478ms,3707ms,6771ms,2019-11-27T12:48:05Z
local.oplog.rs,10ms,10ms,0ms,2019-11-27T12:48:05Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:48:05Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:48:05Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:48:05Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:48:05Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:48:05Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:48:05Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:48:05Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:48:05Z
ycsb.usertable,15806ms,5604ms,10201ms,2019-11-27T12:48:06Z
local.oplog.rs,8ms,8ms,0ms,2019-11-27T12:48:06Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:48:06Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:48:06Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:48:06Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:48:06Z
