insert,query,update,delete,getmore,command,dirty,used,flushes,vsize,res,qrw,arw,net_in,net_out,conn,set,repl,time
*0,149,355,*0,3,59|0,2.70%,6.70%,0,2.80G,1.06G,0|0,7|10,200k,766k,31,rs0,PRI,49:36.3
*0,134,366,*0,0,64|0,2.80%,6.80%,0,2.80G,1.07G,0|0,7|10,198k,687k,31,rs0,PRI,49:37.3
*0,127,330,*0,0,34|0,2.80%,6.90%,0,2.81G,1.07G,0|0,7|10,177k,439k,31,rs0,PRI,49:38.3
*0,98,252,*0,2,70|0,2.90%,6.90%,0,2.83G,1.08G,0|16,1|0,145k,690k,31,rs0,PRI,49:39.3
*0,68,183,*0,4,68|0,2.90%,6.90%,0,2.83G,1.08G,0|0,3|14,110k,750k,31,rs0,PRI,49:40.3
*0,144,314,*0,1,71|0,2.90%,7.00%,0,2.84G,1.09G,0|0,5|12,184k,629k,31,rs0,PRI,49:41.3
*0,161,408,*0,2,65|0,3.00%,7.10%,0,2.85G,1.10G,0|0,6|11,225k,814k,32,rs0,PRI,49:42.3
*0,143,316,*0,1,64|0,3.00%,7.10%,0,2.86G,1.11G,0|0,8|9,185k,554k,31,rs0,PRI,49:43.3
*0,167,359,*0,2,48|0,3.10%,7.20%,0,2.86G,1.12G,0|0,7|10,204k,629k,31,rs0,PRI,49:44.3
*0,134,345,*0,0,65|0,3.10%,7.20%,0,2.87G,1.13G,0|0,7|10,192k,749k,31,rs0,PRI,49:45.3
*0,145,355,*0,0,58|0,3.20%,7.30%,0,2.88G,1.14G,0|0,6|11,199k,558k,31,rs0,PRI,49:46.3
*0,109,226,*0,0,56|0,3.20%,7.30%,0,2.89G,1.14G,0|0,4|13,133k,685k,31,rs0,PRI,49:47.3
*0,138,299,*0,2,62|0,3.20%,7.40%,0,2.89G,1.15G,0|0,7|10,174k,749k,31,rs0,PRI,49:48.3
*0,151,349,*0,0,33|0,3.30%,7.50%,0,2.90G,1.16G,0|0,4|13,193k,383k,31,rs0,PRI,49:49.3
*0,147,321,*0,1,44|0,3.30%,7.50%,0,2.91G,1.17G,0|0,3|14,180k,628k,31,rs0,PRI,49:50.3
*0,159,355,*0,1,63|0,3.40%,7.60%,0,2.92G,1.17G,0|0,4|13,202k,808k,31,rs0,PRI,49:51.3
*0,87,207,*0,1,52|0,3.40%,7.60%,0,2.92G,1.18G,0|16,1|0,122k,441k,31,rs0,PRI,49:52.3
*0,60,157,*0,2,69|0,3.40%,7.60%,0,2.93G,1.18G,0|0,7|10,93.4k,743k,31,rs0,PRI,49:53.3
*0,193,444,*0,2,67|0,3.50%,7.70%,0,2.94G,1.19G,0|0,8|9,250k,717k,31,rs0,PRI,49:54.3
*0,156,310,*0,0,57|0,3.50%,7.80%,0,2.95G,1.20G,0|0,5|12,181k,577k,31,rs0,PRI,49:55.3
*0,180,368,*0,1,68|0,3.60%,7.80%,0,2.96G,1.21G,0|0,4|12,215k,791k,31,rs0,PRI,49:56.3
*0,123,301,*0,2,65|0,3.60%,7.90%,0,2.96G,1.22G,0|0,4|13,169k,738k,31,rs0,PRI,49:57.3
*0,172,354,*0,2,64|0,3.70%,8.00%,0,2.97G,1.23G,0|0,5|12,207k,766k,31,rs0,PRI,49:58.3
*0,109,281,*0,1,67|0,3.70%,8.00%,0,2.98G,1.23G,0|0,5|12,156k,705k,31,rs0,PRI,49:59.3
*0,123,280,*0,2,63|0,3.70%,8.10%,0,2.98G,1.24G,0|0,5|12,162k,612k,31,rs0,PRI,50:00.3
*0,156,429,*0,1,70|0,3.80%,8.10%,0,2.99G,1.25G,0|0,6|11,233k,649k,31,rs0,PRI,50:01.3
*0,188,366,*0,1,52|0,3.80%,8.20%,0,3.00G,1.26G,0|0,3|14,214k,747k,31,rs0,PRI,50:02.3
*0,145,328,*0,1,67|0,3.90%,8.20%,0,3.01G,1.26G,0|0,3|13,188k,825k,31,rs0,PRI,50:03.3
*0,179,435,*0,1,62|0,3.90%,8.30%,0,3.02G,1.27G,0|0,5|12,240k,670k,31,rs0,PRI,50:04.3
*0,131,261,*0,1,67|0,4.00%,8.40%,0,3.03G,1.28G,0|0,6|11,154k,752k,31,rs0,PRI,50:05.3
*0,164,368,*0,3,63|0,4.00%,8.40%,0,3.04G,1.29G,0|0,3|14,210k,900k,31,rs0,PRI,50:06.3
*0,145,363,*0,0,64|0,4.10%,8.50%,0,3.07G,1.30G,0|0,3|14,200k,596k,31,rs0,PRI,50:07.3
*0,166,433,*0,2,58|0,4.10%,8.50%,0,3.07G,1.30G,0|0,6|11,235k,644k,31,rs0,PRI,50:08.3
*0,122,276,*0,0,52|0,4.20%,8.60%,0,3.07G,1.31G,0|1,2|5,158k,725k,32,rs0,PRI,50:09.3
*0,103,310,*0,0,45|0,4.20%,8.60%,0,3.07G,1.32G,0|0,7|10,164k,512k,31,rs0,PRI,50:10.3
*0,133,355,*0,2,64|0,4.20%,8.70%,0,3.07G,1.33G,0|0,6|11,195k,695k,31,rs0,PRI,50:11.3
*0,149,305,*0,0,38|0,4.30%,8.70%,0,3.08G,1.33G,0|0,1|16,175k,452k,32,rs0,PRI,50:12.3
*0,113,282,*0,2,66|0,4.30%,8.80%,0,3.09G,1.34G,0|0,5|12,160k,683k,31,rs0,PRI,50:13.3
*0,157,334,*0,0,66|0,4.40%,8.80%,0,3.09G,1.35G,0|0,7|9,192k,645k,31,rs0,PRI,50:14.3
*0,164,415,*0,2,72|0,4.40%,8.90%,0,3.10G,1.36G,0|0,8|9,230k,820k,31,rs0,PRI,50:15.3
*0,228,498,*0,3,60|0,4.50%,9.00%,0,3.12G,1.37G,0|0,4|13,280k,1.09m,31,rs0,PRI,50:16.3
*0,106,249,*0,1,68|0,4.50%,9.00%,0,3.12G,1.37G,0|0,4|12,142k,634k,31,rs0,PRI,50:17.3
*0,130,258,*0,4,65|0,4.50%,9.10%,0,3.13G,1.38G,0|16,1|0,158k,746k,31,rs0,PRI,50:18.3
*0,69,200,*0,1,68|0,4.60%,9.10%,0,3.13G,1.38G,0|0,3|14,114k,528k,31,rs0,PRI,50:19.3
*0,138,308,*0,0,66|0,4.60%,9.20%,0,3.14G,1.39G,0|0,6|11,176k,617k,31,rs0,PRI,50:20.3
*0,160,418,*0,0,72|0,4.70%,9.20%,0,3.15G,1.40G,0|0,7|11,232k,681k,31,rs0,PRI,50:21.3
*0,142,339,*0,1,62|0,4.70%,9.30%,0,3.15G,1.41G,0|0,7|10,190k,765k,31,rs0,PRI,50:22.3
*0,151,349,*0,0,57|0,4.70%,9.30%,0,3.16G,1.41G,0|0,4|13,197k,688k,31,rs0,PRI,50:23.3
*0,172,359,*0,1,63|0,4.80%,9.40%,0,3.17G,1.42G,0|0,4|13,209k,817k,31,rs0,PRI,50:24.3
*0,185,447,*0,0,53|0,4.80%,9.50%,0,3.18G,1.43G,0|0,7|10,245k,569k,31,rs0,PRI,50:25.3
*0,180,382,*0,1,59|0,4.90%,9.50%,0,3.19G,1.44G,0|0,6|11,220k,717k,31,rs0,PRI,50:26.3
*0,168,420,*0,1,60|0,4.90%,9.60%,0,3.20G,1.45G,0|0,8|9,229k,588k,31,rs0,PRI,50:27.3
*0,125,334,*0,0,39|0,5.00%,9.60%,0,3.20G,1.45G,0|0,2|10,180k,716k,31,rs0,PRI,50:28.3
*0,95,267,*0,4,44|0,4.90%,9.70%,0,3.22G,1.47G,0|0,6|11,146k,709k,31,rs0,PRI,50:29.3
*0,135,318,*0,0,48|0,5.00%,9.70%,0,3.22G,1.47G,0|0,4|13,176k,523k,31,rs0,PRI,50:30.3
*0,110,291,*0,0,46|0,5.00%,9.80%,0,3.23G,1.48G,0|0,3|13,157k,494k,31,rs0,PRI,50:31.3
*0,199,464,*0,1,62|0,5.00%,9.80%,0,3.24G,1.49G,0|1,5|12,257k,786k,31,rs0,PRI,50:32.3
*0,131,269,*0,3,74|0,5.00%,9.90%,0,3.24G,1.49G,0|16,1|0,166k,763k,31,rs0,PRI,50:33.3
*0,78,170,*0,2,59|0,5.00%,9.90%,0,3.25G,1.50G,0|1,9|8,107k,638k,31,rs0,PRI,50:34.3
*0,134,291,*0,0,69|0,5.00%,9.90%,0,3.25G,1.50G,0|0,10|7,169k,614k,31,rs0,PRI,50:35.3
*0,177,442,*0,3,69|0,5.00%,10.00%,0,3.26G,1.51G,0|0,4|13,246k,834k,31,rs0,PRI,50:36.3
*0,145,347,*0,0,67|0,5.00%,10.10%,0,3.27G,1.52G,0|0,9|8,197k,590k,31,rs0,PRI,50:37.3
*0,150,386,*0,1,61|0,5.00%,10.10%,0,3.28G,1.52G,0|0,5|12,200k,734k,31,rs0,PRI,50:38.3
*0,195,405,*0,0,49|0,5.00%,10.20%,0,3.29G,1.53G,0|0,8|9,232k,714k,31,rs0,PRI,50:39.3
*0,95,249,*0,2,67|0,5.00%,10.20%,0,3.29G,1.54G,0|16,1|0,141k,743k,31,rs0,PRI,50:40.3
*0,50,123,999,3,60|0,5.00%,10.20%,0,3.29G,1.54G,0|16,1|0,80.3k,549k,31,rs0,PRI,50:41.3
*0,97,233,796,7,69|0,5.00%,10.30%,0,3.30G,1.55G,0|0,5|12,144k,597k,31,rs0,PRI,50:42.3
*0,231,550,*0,0,64|0,5.00%,10.40%,0,3.31G,1.56G,0|0,8|9,303k,732k,31,rs0,PRI,50:43.3
*0,197,475,*0,2,71|0,5.00%,10.40%,0,3.32G,1.57G,0|0,6|11,263k,905k,31,rs0,PRI,50:44.3
*0,89,246,*0,2,43|0,5.00%,10.50%,0,3.33G,1.57G,0|0,5|12,135k,579k,31,rs0,PRI,50:45.3
*0,139,360,*0,1,57|0,5.00%,10.50%,0,3.33G,1.58G,0|0,5|12,196k,550k,31,rs0,PRI,50:46.3
*0,158,347,*0,0,67|0,5.00%,10.60%,0,3.34G,1.58G,0|0,7|10,199k,738k,31,rs0,PRI,50:47.3
*0,181,460,*0,2,66|0,5.00%,10.60%,0,3.35G,1.59G,0|0,5|12,254k,650k,31,rs0,PRI,50:48.3
*0,168,361,*0,1,60|0,5.00%,10.70%,0,3.36G,1.60G,0|0,9|8,206k,930k,31,rs0,PRI,50:49.3
*0,174,354,*0,0,60|0,5.00%,10.70%,0,3.36G,1.61G,0|0,7|10,206k,669k,31,rs0,PRI,50:50.3
